cardholder_name,card_number,merchant_name,merchant_category,amount,hour,distance_from_home,is_online,is_foreign,velocity_last_hour,is_fraud
Zachary Ferrell,4622719260261180,Merchant: Nunez LLC,online_shopping,70.78,8,1.91,1,0,2,0
Daniel Baker,4801093609194905,"Merchant: Mercado, Rios and Smith",grocery,41.64,14,16.88,1,0,1,0
Shirley Suarez,4700327628058770,Merchant: Luna-Holden,online_shopping,62.99,13,3.27,0,0,2,0
Christopher Bass,4701497268211952,Merchant: Barrera PLC,grocery,42.11,15,11.87,1,0,1,0
Lisa Archer,4964607735956912,"Merchant: Rodriguez, Mercado and Taylor",online_shopping,63.52,13,1.58,0,0,1,0
Aimee Montoya,4205135639748929,"Merchant: Walker, Garza and Howell",dining,55.92,16,14.17,1,0,0,0
Matthew Mcmillan,4007516748673589,Merchant: Lewis Ltd,gas_station,10.38,8,13.95,1,1,0,0
Brian Rodriguez,4821774874779357,Merchant: Mills Group,dining,10.91,11,19.95,0,0,1,0
Denise Jacobs,4843835699971257,Merchant: Stewart-Perez,grocery,16.66,5,1.39,1,0,0,0
Christina Walters,4019306469126710,Merchant: Lane and Sons,grocery,29.43,8,19.1,1,0,0,0
John Whitehead,4969933530313876,Merchant: Lee-Pruitt,online_shopping,14.48,12,9.87,0,0,0,0
Anna Henderson,4056828753355261,Merchant: Harris and Sons,gas_station,16.12,4,23.25,0,0,2,0
Aaron Wise,4029487478112822,Merchant: Jones Inc,gas_station,92.5,14,0.71,1,0,1,0
Deborah Figueroa,4993451739222939,Merchant: Porter LLC,electronics,67.76,8,17.84,0,0,1,0
Jessica Smith,4778650394750552,Merchant: White-Wilkins,gas_station,24.1,7,2.61,1,0,0,0
Stephen Mckee,4779174312434537,Merchant: Moore Ltd,online_shopping,97.64,10,22.63,0,0,1,0
Sandra Aguilar,4381157509272091,Merchant: Savage Ltd,gas_station,66.99,10,12.67,0,0,2,0
Cameron Parker,4803695756294334,"Merchant: Clark, Robinson and Kim",grocery,39.6,18,11.42,0,0,2,0
Rebecca Valencia,4686708855069432,"Merchant: Perez, Armstrong and Miranda",electronics,23.07,21,3.38,0,0,2,0
Christine Wright,4410104279749358,Merchant: Lawrence-Palmer,grocery,21.27,15,6.31,0,0,2,0
Richard Henson,4921018188969919,Merchant: Campbell Group,dining,16.52,12,35.26,0,0,2,0
Marc Moore,4293575384811153,Merchant: Mercado LLC,electronics,14.72,9,1.52,0,0,2,0
Sharon Cherry,4034756016426248,Merchant: Hill Group,online_shopping,52.22,22,8.38,1,0,2,0
Sierra Johnson,4546202135469224,Merchant: Medina-Reed,grocery,121.72,9,4.76,0,0,0,0
Evelyn Galvan,4940717343466094,Merchant: Kennedy-Rose,dining,30.26,1,4.06,1,0,1,0
Sharon Cochran,4470060398107950,Merchant: Mckinney and Sons,electronics,48.87,19,8.4,1,0,0,0
Richard Rodriguez,4635214120224177,Merchant: Robinson-Baker,dining,30.24,3,2.29,0,0,0,0
Shannon Walker,4616809564185413,"Merchant: Carrillo, King and Villanueva",dining,10.54,15,23.11,0,0,1,0
Julia Torres,4336650285915657,Merchant: Ferguson PLC,dining,41.71,6,32.97,0,0,2,0
Crystal Johnson,4791578290524925,Merchant: Nguyen-Cole,online_shopping,13.46,2,6.71,0,0,0,0
Garrett Lin,4191142999481410,Merchant: Reynolds-Thomas,grocery,16.25,13,4.28,0,0,0,0
Diana May,4013856993914268,Merchant: Smith and Sons,gas_station,39.46,11,5.7,0,0,1,0
William Herrera,4201201740209849,Merchant: Campos-Evans,gas_station,7.04,9,0.68,1,0,2,0
Ashley Waller,4698886659481825,Merchant: Jordan Ltd,dining,18.32,14,1.53,0,1,1,0
Victor Baker,4291367591644912,Merchant: Davenport LLC,grocery,6.64,9,14.04,0,0,2,0
Jeffrey Chandler,4321801130852317,"Merchant: Santos, Camacho and Nichols",electronics,18.3,7,7.45,0,0,1,0
Larry Dixon,4682342840224623,"Merchant: Crane, Jensen and Mcdonald",gas_station,19.81,1,5.31,0,0,2,0
Kenneth Scott,4713202534238672,Merchant: Adams-Diaz,grocery,109.91,3,3.64,0,0,1,0
April Frost,4776042939876674,Merchant: Hart-Turner,gas_station,24.8,13,27.76,0,0,0,0
Michelle Harmon,4087721075240035,"Merchant: Campbell, Garcia and Murray",online_shopping,59.32,0,9.36,0,0,0,0
Helen Jones,4051097247254267,Merchant: Perez PLC,electronics,20.83,13,1.38,1,1,1,0
Erin Edwards,4416893927639854,Merchant: Sanchez PLC,grocery,26.08,13,3.45,0,0,4,0
Michelle Evans,4381828936327860,Merchant: Davis and Sons,travel,22.58,22,6.86,0,0,0,0
Jason Powell,4704235731899590,Merchant: Munoz-Stewart,grocery,18.38,12,37.11,1,0,1,0
Cameron Fisher,4116992135347053,"Merchant: Hernandez, Mueller and Moran",dining,40.12,19,10.32,0,0,2,0
Megan Orr,4707750884949999,"Merchant: Juarez, Ramos and Hayes",dining,26.32,13,1.4,0,0,4,0
Elizabeth Kelley,4357686621380598,"Merchant: Nichols, Jones and Li",dining,42.69,15,0.17,0,0,2,0
Dustin Jordan,4194845422595518,Merchant: Mcguire Group,dining,42.26,6,4.88,0,0,0,0
Mary Marshall,4305915419635118,Merchant: Harris-Baker,dining,36.21,16,10.28,0,0,1,0
Daniel Kennedy,4967451363659051,Merchant: Smith-Cooper,grocery,24.55,7,6.09,0,0,2,0
Rebecca Jackson,4417372234267872,Merchant: Diaz-Martin,grocery,36.89,7,13.99,0,0,2,0
Jose Schultz,4323812817189939,"Merchant: Estes, Rush and Winters",grocery,39.21,7,25.85,0,0,1,0
Robert Potter,4475211275963735,Merchant: Peterson-Allen,gas_station,36.87,18,31.37,1,0,1,0
Courtney Gonzalez,4149331088623064,Merchant: White Ltd,online_shopping,36.15,12,28.39,0,0,1,0
David Alvarez,4940038180364858,Merchant: Winters-Stafford,grocery,18.14,16,4.99,0,1,0,0
Angel Perry,4002182414081709,Merchant: Price LLC,dining,22.27,12,3.81,1,0,0,0
Cheyenne Horton,4846168787321491,Merchant: Smith-Abbott,grocery,50.72,18,7.74,0,0,0,0
David Douglas Jr.,4032043474334426,Merchant: Miller-Morris,electronics,17.19,9,1.45,0,0,1,0
Patricia Rodriguez,4065100460104138,"Merchant: Moore, Munoz and Powell",gas_station,33.15,0,15.76,0,0,2,0
Christopher Rubio,4355579420722395,Merchant: Rodgers Group,dining,14.29,23,42.53,0,0,1,0
Amber Wright,4672176189898783,"Merchant: Hanson, Adams and Jones",travel,9.41,12,4.43,0,0,0,0
Joyce Solis,4767751387712394,"Merchant: Curtis, Riley and Barry",grocery,40.84,16,21.28,0,0,2,0
Victoria Larson,4893972048730453,Merchant: Flores LLC,grocery,13.02,14,1.9,0,0,3,0
Stephanie Salazar,4945586817341884,"Merchant: Robbins, Gonzalez and Hart",online_shopping,21.6,19,1.59,0,0,1,0
Kathy Rivas,4796403157585932,"Merchant: Maxwell, Garcia and Morris",grocery,57.63,7,10.71,0,0,1,0
Stephanie Manning,4853620544933927,Merchant: Smith Group,gas_station,14.01,17,9.1,0,0,2,0
David Wright,4195406385670209,Merchant: Butler Group,electronics,53.84,6,2.05,0,0,1,0
Pamela Boyd,4153784205555358,"Merchant: Tucker, Mills and Stevenson",online_shopping,53.1,10,1.48,0,0,1,0
Denise Jones,4407896778889222,Merchant: Jackson-Martin,online_shopping,27.48,13,3.37,1,0,0,0
Devon Flores,4007204094711242,Merchant: Gonzalez Group,grocery,47.74,11,10.84,0,0,0,0
Brenda Hall,4175780410486672,"Merchant: Johnston, Christian and Robertson",grocery,49.74,13,16.58,1,0,1,0
Michelle Brown,4864426244704981,Merchant: Rodriguez and Sons,grocery,13.63,6,15.41,0,0,1,0
Joshua Perry,4711018770332579,Merchant: Pham-Chavez,grocery,15.1,16,11.97,0,0,2,0
Jason Stein,4443073246689974,Merchant: Casey-Cook,dining,109.57,7,38.39,1,0,3,0
Melissa Gates,4903043817799893,Merchant: Church PLC,dining,11.9,17,2.0,0,0,2,0
Jamie Smith,4469247048113016,"Merchant: Jennings, Moyer and Ortega",online_shopping,18.53,9,8.3,0,0,0,0
Paul Castaneda,4432314565181273,Merchant: Pratt Ltd,gas_station,24.43,8,14.38,1,0,0,0
Jennifer Adkins,4917003437432568,Merchant: Werner Group,online_shopping,15.03,8,20.89,1,0,0,0
Lindsey Walker,4405362512311546,Merchant: Burns-Olsen,online_shopping,17.41,14,0.72,0,1,2,0
Jeffrey Johnson,4119020607136932,"Merchant: Rodriguez, Rose and Wilson",dining,41.71,12,6.83,0,0,0,0
Michael Powell,4052214426735383,"Merchant: Clarke, Pena and Miller",dining,27.28,11,14.81,0,0,2,0
John Anderson,4256116159994422,Merchant: Dixon Ltd,gas_station,112.21,13,13.49,0,0,0,0
Alyssa Long,4184553758268294,"Merchant: Moss, Sexton and Douglas",online_shopping,25.74,5,6.62,0,0,1,0
Alyssa Day,4081499402323586,Merchant: Herman PLC,online_shopping,13.65,15,17.38,1,0,0,0
Joel Williams,4935803528805079,"Merchant: Cruz, Smith and Turner",grocery,5.64,17,38.64,0,0,2,0
Daniel Murphy,4078197354425244,"Merchant: Mcdonald, Zimmerman and Garcia",gas_station,7.55,8,10.6,0,0,2,0
Jamie Walton,4777444964930468,Merchant: Freeman LLC,dining,18.59,17,3.77,1,0,1,0
Darlene Miller,4006069882648620,Merchant: Smith-House,dining,44.3,11,4.71,0,0,0,0
Joshua Cooke,4553779385460912,Merchant: Williams LLC,dining,117.59,18,6.8,1,0,0,0
Matthew Harrington,4104072545396018,Merchant: Ross and Sons,dining,48.48,10,6.65,0,0,2,0
Nicole Herring,4099324707926257,"Merchant: Lucas, Guerrero and Roberts",dining,43.1,7,0.82,0,0,0,0
Alex Hernandez,4743160325039432,"Merchant: Olson, Cook and Reed",gas_station,29.53,13,19.79,0,1,0,0
Michael Elliott,4427895236179495,Merchant: Smith Group,travel,48.84,10,7.19,0,0,1,0
Michael Wang,4454959578127318,Merchant: Haas LLC,grocery,10.16,8,0.51,1,0,1,0
Lawrence Adkins,4427183224023938,Merchant: Lynch-Berry,gas_station,15.57,14,4.49,0,1,0,0
Robert Oconnell,4276176404046556,Merchant: Rogers Group,grocery,42.69,13,1.58,0,0,0,0
Alexander Collins,4128638110502289,Merchant: Patterson and Sons,dining,16.52,23,16.88,0,0,3,0
Tina Sanders,4074595282767740,Merchant: James-Smith,electronics,18.27,16,42.98,0,0,1,0
Angela Vaughn,4393543373278395,Merchant: Phillips Inc,grocery,19.63,11,2.4,1,0,2,0
Ashley Barton,4921510026077210,"Merchant: Green, Austin and Craig",dining,40.47,10,3.48,1,0,0,0
Lindsay Martinez,4348696537155739,"Merchant: Murphy, Norris and Rojas",online_shopping,19.66,18,12.23,0,0,0,0
Dr. Hannah Patterson,4052089831873098,"Merchant: Dean, Davis and Powell",online_shopping,45.87,9,42.05,0,0,1,0
Jonathan Peterson,4079337731297341,Merchant: Foster-Lynch,electronics,41.68,14,6.29,1,0,2,0
Samantha Garcia,4485027590826805,Merchant: Murray Ltd,dining,73.73,14,5.6,0,0,0,0
Madison Poole,4907220871218947,Merchant: Johnson-Hutchinson,grocery,52.1,12,4.76,0,0,1,0
Jessica Gross,4239596023315999,Merchant: Howell LLC,grocery,39.62,15,9.46,1,0,3,0
Debra Morton,4517579032308885,Merchant: Cervantes and Sons,grocery,26.62,6,58.94,1,0,1,0
Karen Graham,4609417502413001,Merchant: Spencer-Caldwell,gas_station,20.92,8,7.31,0,0,0,0
Debra Christian,4886758755850959,Merchant: Callahan-Rivera,electronics,57.43,5,3.9,0,0,2,0
Angelica Keith,4450497236694621,"Merchant: Johnson, Scott and Pierce",travel,21.87,7,20.91,0,0,1,0
John Bishop,4286518142043841,"Merchant: Johnson, Jackson and Torres",online_shopping,18.39,21,34.69,1,0,1,0
Allen Rosales,4046217643493941,"Merchant: Lopez, Douglas and Hawkins",grocery,22.37,6,23.2,0,0,0,0
Daniel Salinas,4667407886985855,Merchant: Cabrera-Wilson,grocery,31.6,8,23.15,0,1,2,0
Spencer Haynes,4491106672641878,"Merchant: Collins, Stokes and Perkins",electronics,19.6,16,22.64,0,0,1,0
Adam Vaughan,4978953770124931,Merchant: Long PLC,travel,32.78,9,0.72,0,0,1,0
Nathan Freeman,4645982437804703,Merchant: Mack Group,dining,60.74,6,3.21,0,0,1,0
Melissa Brewer,4079365187569269,"Merchant: Bailey, Nelson and Olson",dining,16.57,12,17.64,1,0,0,0
Ricky Davis II,4032735712567218,"Merchant: Tucker, Little and Nicholson",dining,23.56,20,31.36,0,0,0,0
Elizabeth Perkins,4300857895915322,Merchant: Martin PLC,electronics,51.53,6,0.36,0,0,3,0
Joseph Coleman,4256600980578363,"Merchant: Lopez, Curry and Castro",grocery,45.16,6,11.81,1,0,2,0
Erin Warner,4303413653298563,Merchant: Callahan-Navarro,grocery,21.25,5,28.88,1,0,2,0
David Martinez,4997707060074611,Merchant: Buckley PLC,online_shopping,14.05,6,45.32,0,1,1,0
Bryan Herrera,4337004917443689,Merchant: Brock-Lewis,online_shopping,24.66,10,5.75,0,0,2,0
Cathy Robinson,4163876215774058,Merchant: Garrison Ltd,electronics,32.12,7,7.38,0,0,0,0
Dr. William Warren,4586618248741426,Merchant: Morales Inc,dining,182.82,12,29.64,1,0,2,0
Brian Lee,4853141988726347,Merchant: Zuniga-Kramer,online_shopping,64.66,10,2.22,1,0,1,0
Christopher Smith,4122339982159003,"Merchant: West, Davis and Jimenez",electronics,7.26,6,18.47,0,0,3,0
Denise Mccann,4132044845677153,"Merchant: Ramirez, Williams and Dominguez",travel,26.52,3,6.92,0,0,3,0
Melissa Martinez,4176604568939119,Merchant: Michael-Griffin,grocery,50.99,18,18.98,0,0,0,0
Katherine Salas,4457677657666470,Merchant: Jackson-Johnson,travel,37.57,6,25.85,0,0,0,0
Julie Alexander,4085208529645524,"Merchant: Johnson, Patterson and Owens",online_shopping,38.75,17,1.91,1,0,2,0
Anthony Everett,4750499887829883,Merchant: Cooper-Tucker,online_shopping,28.28,1,7.21,0,0,2,0
Rodney Morales,4275442206185062,"Merchant: Brown, Richardson and Gilbert",dining,12.84,8,4.73,1,0,1,0
Mark Brown,4987386400672467,Merchant: Gibson-Lopez,online_shopping,28.16,9,6.25,0,0,0,0
Justin Torres,4390321430318394,"Merchant: Owen, Gray and Parsons",online_shopping,24.45,9,10.07,0,0,0,0
Bailey Duran DDS,4301118406548857,Merchant: Jones-Shaffer,grocery,38.08,12,8.58,0,0,0,0
Courtney Mills,4875524529615141,Merchant: Edwards-Mora,grocery,21.9,4,9.3,0,0,0,0
Jeremy Dalton,4697457835179831,"Merchant: Taylor, Cooper and Holt",grocery,51.48,16,7.95,0,0,2,0
Elizabeth Oliver DDS,4135566963389580,"Merchant: Burke, James and Castillo",electronics,21.92,11,32.23,1,1,2,0
Theresa Clark,4417825601999161,"Merchant: Lawson, Floyd and Johnson",dining,17.48,16,1.63,1,0,1,0
Matthew Moore,4469476293684260,Merchant: Ramos-Nichols,grocery,26.28,19,5.51,0,0,1,0
Benjamin Smith,4179736799010273,Merchant: Williams Inc,gas_station,5.64,12,5.07,0,0,1,0
Kirk Carter,4909520387212153,Merchant: Scott-Torres,grocery,29.28,10,6.44,0,0,1,0
Michael Warner,4904562446220160,Merchant: Greene-Gray,electronics,45.9,18,29.47,0,0,1,0
Michael Bradshaw,4663393508243267,Merchant: Valenzuela PLC,grocery,147.04,14,8.23,1,0,1,0
Lori Guerrero,4538140307559846,Merchant: Rhodes and Sons,dining,19.42,10,9.32,1,0,2,0
Jessica Stephens,4420248435074504,"Merchant: Nguyen, Gibson and Wagner",gas_station,44.65,19,14.71,1,0,0,0
Susan Serrano,4328099970244041,Merchant: Campbell-Moore,grocery,88.75,12,37.85,1,0,0,0
Christopher Parker,4109077182353276,Merchant: Robinson-Roberts,grocery,14.96,16,9.65,1,0,2,0
Laura Roberts,4376554761727571,"Merchant: Villanueva, Morgan and Cox",grocery,25.63,14,2.32,0,0,2,0
Michael Lyons,4554814712666151,Merchant: Taylor Group,online_shopping,33.9,15,0.82,1,1,3,0
Kathryn Snyder,4939294270215012,Merchant: Heath Group,dining,61.6,6,2.35,0,0,1,0
Andrew Reynolds,4433906279895822,Merchant: Smith-Martinez,dining,55.09,12,9.33,1,0,0,0
David Davis,4773391299037192,"Merchant: Callahan, Davis and Brown",dining,50.89,14,7.22,0,0,3,0
Sara Johnston,4275939557142113,"Merchant: Brown, Jones and Lynn",grocery,32.8,8,0.25,0,0,2,0
Yvonne Chambers,4220659100443646,Merchant: Madden Inc,online_shopping,36.13,14,4.72,1,0,0,0
Andrew Avila,4644432969142206,Merchant: Harris-Lopez,dining,100.1,9,5.23,0,0,2,0
Matthew Moon,4722768352780879,Merchant: Garcia-Aguilar,online_shopping,18.68,14,19.25,0,0,2,0
Kevin Walters,4710933853000904,Merchant: Tyler Ltd,travel,25.69,20,26.36,0,0,2,0
Brandon Bailey MD,4632586775465863,"Merchant: Norman, Allen and Owens",dining,20.93,8,3.72,0,0,2,0
Shannon Rivera,4728470344633241,Merchant: Erickson-Coleman,online_shopping,9.68,13,8.09,0,0,2,0
Donna Landry,4568415463517579,"Merchant: Davis, Valencia and Cameron",electronics,84.29,12,2.37,0,0,1,0
Krista Gibson,4518517696595966,Merchant: Graham Group,electronics,11.38,1,8.66,0,0,4,0
Frank Cordova,4600337522964842,Merchant: Rivera Group,electronics,12.32,18,2.86,0,0,2,0
Jose Travis,4109222514557950,Merchant: Fleming and Sons,online_shopping,61.98,12,4.45,0,0,2,0
Kimberly Gutierrez,4723766041426432,Merchant: Edwards-Dunn,gas_station,16.58,9,0.53,1,0,1,0
Isaiah Avila,4297081372298210,Merchant: Diaz-Watkins,grocery,54.45,8,13.21,0,0,2,0
Olivia Harris,4935243922950140,Merchant: Tyler-Torres,grocery,18.33,13,10.53,0,0,0,0
Tanya Kim,4284076953908786,Merchant: Velasquez-Williams,grocery,36.76,19,18.41,1,0,0,0
Barbara Dudley,4476790078244665,"Merchant: Salinas, Collins and Russo",online_shopping,101.36,17,12.44,1,0,2,0
Cynthia Moore,4694836094386828,"Merchant: Arroyo, Hall and Mason",dining,44.09,14,1.23,1,0,1,0
Kristen Davis,4085592562972667,"Merchant: Rivas, Norris and Morton",online_shopping,20.98,15,2.23,1,1,3,0
Susan Murray MD,4325727346892704,"Merchant: Willis, Simpson and Dean",grocery,15.19,8,1.5,0,0,2,0
Kathleen Moran,4723344666105143,Merchant: Williams-Park,grocery,40.96,12,26.46,1,0,2,0
Denise Davenport,4180686288688799,Merchant: Butler PLC,dining,27.8,12,2.36,0,0,0,0
Mrs. Kristen Reyes,4449403951869566,"Merchant: Patterson, Foley and Henson",electronics,28.42,9,20.41,0,0,2,0
